Entity Type,Entity Value,Intent,Replies
allowance_type,call back allowance,description-definition-what,Call back is defined as work not continuous to or an extension of the normal work period and it is also not a planned overtime.
allowance_type,call back allowance,description-definition-what,Call back allowance is payable to employee who are on call back duty and when they are called back after office hours during call back duty.
allowance_type,call back allowance,description-definition-what,"In situations where employees may be callback by their supervisor to perform their duty even though they are on call back duty, employee can claim for call back allowance which will be routed to both immediate supervisor and final approval by Head of Department."
allowance_type,call back allowance,description-system-fullpolicy,You can find the policy at WOW portal
allowance_type,call back allowance,description-others-policyowner,The policy owner for call back allowance is the Rewards Team from HR. 
allowance_type,call back allowance,description-others-policyowner,The Rewards Team from HR is the policy owner for call back allowance.
allowance_type,call back allowance,description-others-policyowner,"If you really need to speak to someone, reach out to the Rewards Team from HR. "
allowance_type,call back allowance,description-others-policyowner,The PIC for this policy is the Rewards Team from HR.
allowance_type,call back allowance,description-others-policyowner,You can reach out to the Rewards Team from HR regarding this policy. 
allowance_type,call back allowance,entitlement-process-factors,"If you are in TechOps, Field Force or in Security and you were called back due to some emergency while you were on call back."
allowance_type,call back allowance,entitlement-process-factors,"You must have been called back by your line manager while you were on call back to perform a task at work, and you must be from TechOps, Field Force or in Security."
allowance_type,call back allowance,entitlement-process-factors,"This is when a TechOps, Field Force or Security employee is called back to perform duties when they are on call back."
allowance_type,call back allowance,entitlement-process-exhausted,"Sorry, but once you finish your allowance you will have to wait until the next pay cycle for more as there is only a fixed amount of allowance given. "
allowance_type,call back allowance,escalation,Please raise any concerns you have on DêCare. 
allowance_type,call back allowance,entitlement-person-who,"All technology operations/network/field force/corporate infrastructure management/security employees who are earning above RM3,500, not eligible to claim overtime and are below job level C6 are eligible to claim for call back allowance."
allowance_type,call back allowance,entitlement-person-who,"Only technology Operations, Field Force, Security employees who are earning above RM3.5K and are not able to claim overtime are eligible for call back Allowance. You must also be below the level C6 to claim for this."
allowance_type,call back allowance,entitlement-person-what,"If you work less than 4 hours, you are entitled to RM30.00 per call back. If you work more than 4 hours but less than 8 hours, you are entitled to RM60.00 per call back. If you work more than 8 hours but less than 12 hours, you are entitled to RM90.00 per call back. "
allowance_type,call back allowance,entitlement-person-resignation,Employees should ensure that they submit all claims before their last physical day with the Company. Payout will be credited based on when the claim reimbursement request was submitted on the system. This will be based on the two claim reimbursement cycles that we have.
allowance_type,call back allowance,entitlement-system-view,Go to Orisoft -> FLOWnet -> Request forms -> Allowance. Choose the right allowance and your amount is there.
allowance_type,call back allowance,entitlement-system-view,"To check for your entitlement, you need to go onto Orisoft -> FLOWnet -> Request forms -> Allowance."
allowance_type,call back allowance,entitlement-system-view,Your call back allowance can been seen in Orisoft -> FLOWnet -> Request forms -> Allowance.
allowance_type,call back allowance,entitlement-system-calculaterate,"4 hours and less: RM30.00 per call backMore than 4 hours but less than 8 hours: RM60.00 per call backMore than 8 hours but less than 12 hours: RM90.00 per call back"
allowance_type,call back allowance,approval-process-apply,You may submit your claims on Orisoft or D'Claim.
allowance_type,call back allowance,approval-process-apply,You can apply for it on D'Claim or Orisoft.
allowance_type,call back allowance,approval-process-apply,You may claim it in Orisoft -> FLOWnet -> Request Forms -> Allowance
allowance_type,call back allowance,approval-process-apply,"This is simple, Orisoft -> FLOWnet -> Request Forms -> Allowance. Or do it in D'claim under Others."
allowance_type,call back allowance,approval-process-apply,"You can do it via D'Claim under Others, or Orisoft -> FLOWnet -> Request Forms -> Allowance"
allowance_type,call back allowance,approval-process-edit,"To submit a new claim, login to Orisoft."
allowance_type,call back allowance,approval-timing-duration,That would highly depend on your immediate manager
allowance_type,call back allowance,approval-timing-payout,"If your claim was submitted before the 5th of the month, you will receive your reimbursement on the 15th of the month. However, if you submitted your claim after the 5th, you will receive your reimbursement on the 28th of the month. "
allowance_type,call back allowance,approval-timing-when,Please submit your claim on Orisoft by the 15th of the month.
allowance_type,call back allowance,approval-timing-when,You should submit your claim by the 15th of the month.
allowance_type,call back allowance,approval-timing-when,We close all claim submissions on the 15th of every month
allowance_type,call back allowance,approval-escalation,"You will need to seek clarification from your line manager, if this is not satisfactoy, you may speak to your HRG or HRBP."
allowance_type,call back allowance,approval-person-who,Your immediate manager approves your call back allowance.
allowance_type,call back allowance,approval-person-who,Please get your immediate manager to approve it.
allowance_type,call back allowance,approval-person-who,The approval will go to your immediate manager.
allowance_type,call back allowance,approval-person-absentmanager,"Unfortunately, you will have to wait for your manager to return to approve your allowance on Orisoft. Or try to get him or her on D'Claim."
allowance_type,call back allowance,approval-person-absentmanager,"Only your manager can approve this allowance, please wait for him or her to return. Or get him or her to do it on D'Claim"
allowance_type,call back allowance,approval-person-absentmanager,"Sorry, but your manager is the only person allowed to approve this claim. Altenatively, you can get him to do it on D'Claim."
allowance_type,call back allowance,approval-document,All claims must be substantiated by supporting documents such as call back roster or timesheet.
allowance_type,call back allowance,approval-system-statusview,You may check it on D'Claim or Orisoft.
allowance_type,call back allowance,approval-system-statusview,The status of your claim can be checked on Orisoft or D'Claim
allowance_type,call back allowance,approval-system-statusview,Please check on D'Claim or Orisoft to see where you claim is at right now.
